MainTopic,SubTopic,Book,Chapter,Verse,Verses

Father,Acceptance from God,Genesis,,,"4:4-7"

Father,Accusations,Genesis,,,"3:13-14"

Father,Commands - Commandments,Genesis,,,"3:11; 3:17"

Father,Creator,Genesis,,,"1:1; 1:3-27; 1:31; 2:2; 2:7-9; 2:19; 3:21"

Father,Curses,Genesis,,,"3:14-19; 4:10-12"

Father,Designator,Genesis,,,"1:28; 2:15-17"

Father,Presence on Earth,Genesis,,,"3:8"

Father,Spoken Words,Genesis,,,"1:3; 1:6; 1:9; 1:11; 1:14-15; 1:20; 1:22; 1:24; 1:26; 1:28-30; 2:16-18; 3:9; 3:11; 3:13-19; 3:22; 4:9-12; 4:15"
