MainTopic,SubTopic,Book,Chapter,Verse,Verses

Objects,Altar,Genesis,,,"8:20; 12:7-8; 13:4; 13:18; 22:9; 26:25; 33:3; 33:20; 35:1; 35:7"

Objects,Altar,Exodus,,,"17:15; 20:24-26; 21:14; 24:4; 24:6; 27:1; 27:5-7; 28:43; 29:12-13; 29:16; 29:18; 29:20-21; 29:25; 29:36-38; 29:44; 30:1; 30:18; 30:20; 30:27-28; 31:8-9; 32:5; 35:15-16; 37:25; 38:1; 38:3-4; 38:7; 38:30; 39:38-39; 40:5-6; 40:10; 40:26; 40:29-30; 40:32-33"

Objects,Altar,Leviticus,,,"1:5; 1:7-9; 1:11-13; 1:15-17; 2:2; 2:8-9; 2:12; 3:2; 3:5; 3:8; 3:11; 3:13; 3:16; 4:7; 4:10; 4:18-19; 4:25-26; 4:30-31; 4:34-35; 5:9; 5:12; 6:9-10; 6:12-15; 7:2; 7:5; 7:31; 8:11; 8:15-16; 8:19; 8:21; 8:24; 8:28; 8:30; 9:7-10; 9:12-14; 9:17-18; 9:20; 9:24; 10:12; 14:20; 16:12; 16:18; 16:20; 16:25; 16:33; 17:6; 17:11; 21:23; 22:22"

Objects,Altar,Numbers,,,"3:26; 4:11; 4:13-14; 4:26; 5:25-26; 7:1; 7:10-11; 7:84; 7:88; 16:38-39; 16:46; 18:3; 18:5; 18:7; 18:17; 23:2; 23:4; 23:14; 23:30"

Objects,Altar,Deuteronomy,,,"12:27; 16:21; 26:4; 27:5-6; 33:10"

Objects,Altar,Joshua,,,"8:30-31; 9:27; 22:10-11; 22:16; 22:19; 22:23; 22:26; 22:28-29; 22:34"

Objects,Altar,Judges,,,"6:24-26; 6:28; 6:30-32; 13:20; 21:4"

Objects,Altar,1 Samuel,,,"2:28"

Objects,Sword,Genesis,,,"3:24"

Objects,Weapons,Genesis,,,"3:24"
