MainTopic,SubTopic,Book,Chapter,Verse
"Penalty, Punishment",Plagues,Exodus,7,19
"Penalty, Punishment",Plagues,Exodus,7,20
"Penalty, Punishment",Plagues,Exodus,7,21
"Penalty, Punishment",Plagues,Exodus,7,22
"Penalty, Punishment",Plagues,Exodus,7,23
"Penalty, Punishment",Plagues,Exodus,8,5
"Penalty, Punishment",Plagues,Exodus,8,16
"Penalty, Punishment",Plagues,Exodus,8,17
"Penalty, Punishment",Plagues,Exodus,8,18
"Penalty, Punishment",Plagues,Exodus,8,19
"Penalty, Punishment",Plagues,Exodus,8,20
"Penalty, Punishment",Plagues,Exodus,8,21
"Penalty, Punishment",Plagues,Exodus,8,22
"Penalty, Punishment",Plagues,Exodus,8,23
"Penalty, Punishment",Plagues,Exodus,8,24
"Penalty, Punishment",Plagues,Exodus,8,30
"Penalty, Punishment",Plagues,Exodus,8,31
"Penalty, Punishment",Plagues,Exodus,8,32
"Penalty, Punishment",Plagues,Exodus,9,1
"Penalty, Punishment",Plagues,Exodus,9,2
"Penalty, Punishment",Plagues,Exodus,9,3
"Penalty, Punishment",Plagues,Exodus,9,4
"Penalty, Punishment",Plagues,Exodus,9,5
"Penalty, Punishment",Plagues,Exodus,9,6
"Penalty, Punishment",Plagues,Exodus,9,7
"Penalty, Punishment",Plagues,Exodus,9,8
"Penalty, Punishment",Plagues,Exodus,9,9
"Penalty, Punishment",Plagues,Exodus,9,10
"Penalty, Punishment",Plagues,Exodus,9,11
"Penalty, Punishment",Plagues,Exodus,9,12
"Penalty, Punishment",Plagues,Exodus,9,18
"Penalty, Punishment",Plagues,Exodus,9,19
"Penalty, Punishment",Plagues,Exodus,9,20
"Penalty, Punishment",Plagues,Exodus,9,21
"Penalty, Punishment",Plagues,Exodus,9,22
"Penalty, Punishment",Plagues,Exodus,9,23
"Penalty, Punishment",Plagues,Exodus,9,24
"Penalty, Punishment",Plagues,Exodus,9,25
"Penalty, Punishment",Plagues,Exodus,9,26
"Penalty, Punishment",Plagues,Exodus,9,27
"Penalty, Punishment",Plagues,Exodus,9,28
"Penalty, Punishment",Plagues,Exodus,9,29
"Penalty, Punishment",Plagues,Exodus,9,33
"Penalty, Punishment",Plagues,Exodus,9,34
"Penalty, Punishment",Plagues,Exodus,9,35
"Penalty, Punishment",Plagues,Exodus,10,12
"Penalty, Punishment",Plagues,Exodus,10,13
"Penalty, Punishment",Plagues,Exodus,10,14
"Penalty, Punishment",Plagues,Exodus,10,15
"Penalty, Punishment",Plagues,Exodus,10,16
"Penalty, Punishment",Plagues,Exodus,10,17
"Penalty, Punishment",Plagues,Exodus,10,18
"Penalty, Punishment",Plagues,Exodus,10,19
"Penalty, Punishment",Plagues,Exodus,10,20
"Penalty, Punishment",Plagues,Exodus,10,21
"Penalty, Punishment",Plagues,Exodus,10,22
"Penalty, Punishment",Plagues,Exodus,10,23
"Penalty, Punishment",Plagues,Exodus,10,24
"Penalty, Punishment",Plagues,Exodus,10,25
"Penalty, Punishment",Plagues,Exodus,10,26
"Penalty, Punishment",Plagues,Exodus,10,27
"Penalty, Punishment",Plagues,Exodus,11,1
"Penalty, Punishment",Plagues,Exodus,11,4
"Penalty, Punishment",Plagues,Exodus,12,21
"Penalty, Punishment",Plagues,Exodus,12,22
"Penalty, Punishment",Plagues,Exodus,12,23
"Penalty, Punishment",Plagues,Exodus,12,24
"Penalty, Punishment",Plagues,Exodus,12,25
"Penalty, Punishment",Plagues,Exodus,12,26
"Penalty, Punishment",Plagues,Exodus,12,27
"Penalty, Punishment",Plagues,Exodus,12,28
"Penalty, Punishment",Plagues,Exodus,12,29
"Penalty, Punishment",Plagues,Exodus,12,30
"Penalty, Punishment",Plagues,Exodus,12,31
"Penalty, Punishment",Plagues,Exodus,12,32
