MainTopic,SubTopic,Book,Chapter,Verse,Verses

People,Abel,Genesis,,,"4:2; 4:4-5; 4:8-9"
People,Abel,Matthew,,,"23:35"
People,Abel,Luke,,,"11:51"
People,Abel,Hebrews,,,"11:4; 12:24"

People,Adam,Genesis,,,"2:20-23; 2:25; 3:8-10; 3:12; 3:17; 3:20-21; 4:1"

People,Brother,Genesis,,,"4:8-12"

People,Cain,Genesis,,,"4:1-9; 4:13-16"

People,"Children, Baby, Child, Offspring",Genesis,,,"3:15-16"

People,Emim,Genesis,,,"14:5"
People,Emim,Deuteronomy,,,"2:10-11"

People,Eve,Genesis,,,"2:21-23; 3:1-8; 3:12-13; 3:16; 3:20-21; 4:1-2"

People,Father,Genesis,,,"2:24"

People,"Fugitive, Runaway",Genesis,,,"4:10-14"

People,Giants,Genesis,,,"6:2; 14:5"
People,Giants,Numbers,,,"13:33"
People,Giants,Deuteronomy,,,"2:10-11"

People,Husband,Genesis,,,"3:6-7; 3:16"

People,Jesus,Matthew,,,"1:1; 1:16; 1:18; 1:21; 3:13; 3:15-16; 4:1; 4:7; 4:10; 4:12; 4:17; 4:23; 7:28; 8:3-4; 8:10; 8:13-14; 8:18; 8:20; 8:22; 8:29; 8:34; 9:2; 9:4; 9:9-10; 9:12; 9:15; 9:19; 9:22-23; 9:27-28; 9:30; 9:35; 10:5; 11:1; 11:4; 11:7; 11:25; 12:1; 12:15; 13:1; 13:34; 13:36; 13:51; 13:53; 13:57; 14:1; 14:12-14; 14:16; 14:22; 14:25; 14:27; 14:29; 14:31; 15:1; 15:16; 15:21; 15:28-29; 15:32; 15:34; 16:6; 16:8; 16:13; 16:17; 16:20-21; 16:24; 17:1; 17:4; 17:7-9; 17:11; 17:17-19; 17:22; 17:25-26; 18:1-2; 18:22; 19:1; 19:14; 19:18; 19:21; 19:23; 19:26; 19:28; 20:17; 20:22; 20:25; 20:30; 20:32; 20:34; 21:1; 21:6; 21:11-12; 21:16; 21:21; 21:24; 21:27; 21:31; 21:42; 22:1; 22:18; 22:29; 22:37; 22:41; 23:1; 24:1; 24:4; 26:1; 26:4; 26:6; 26:10; 26:17; 26:19; 26:26; 26:31; 26:34; 26:36; 26:38; 26:49-52; 26:55; 26:57; 26:59; 26:63-64; 26:69; 26:71; 26:75; 27:1; 27:3; 27:11; 27:17; 27:20; 27:22; 27:26-27; 27:37; 27:46; 27:50; 27:54-55; 27:57-58; 28:5; 28:9-10; 28:16; 28:18"
People,Jesus,Mark,,,"1:1; 1:9; 1:14; 1:17; 1:25; 1:45; 2:5; 2:8; 2:15; 2:17; 2:19; 3:7; 5:6-7; 5:13; 5:15; 5:20-21; 5:27; 5:30; 5:36; 6:4; 6:30; 6:34; 7:27; 8:1; 8:17; 8:27; 9:2; 9:4-5; 9:8; 9:23; 9:25; 9:27; 9:39; 10:5; 10:14; 10:18; 10:21; 10:23-24; 10:27; 10:29; 10:32; 10:38-39; 10:42; 10:47; 10:49-52; 11:6-7; 11:11; 11:14-15; 11:22; 11:29; 11:33; 12:17; 12:24; 12:29; 12:34-35; 12:41; 13:2; 13:5; 14:6; 14:18; 14:22; 14:27; 14:30; 14:48; 14:53; 14:55; 14:60; 14:62; 14:67; 14:72; 15:1; 15:5; 15:15; 15:34; 15:37; 15:43; 16:6"
People,Jesus,Luke,,,"1:31; 2:21; 2:27; 2:43; 2:52; 3:21; 3:23; 4:1; 4:4; 4:8; 4:12; 4:14; 4:34-35; 5:8; 5:10; 5:12; 5:18-19; 5:22; 5:31; 6:3; 6:9; 6:11; 7:3-4; 7:6; 7:9; 7:19; 7:22; 7:40; 8:27-30; 8:35; 8:38-41; 8:45-46; 8:50; 9:33; 9:36; 9:41-43; 9:47; 9:50; 9:58; 9:60; 9:62; 10:21; 10:29-30; 10:37; 10:39; 10:41; 13:2; 13:12; 13:14; 14:3; 17:13; 17:16-17; 18:16; 18:19; 18:22; 18:24; 18:37-38; 18:40; 18:42; 19:3; 19:5; 19:9; 19:35; 20:8; 20:34; 21:37; 22:8; 22:13; 22:47-48; 22:51-52; 22:57; 22:63; 23:8; 23:20; 23:25-26; 23:28; 23:34; 23:42-43; 23:46; 23:52; 24:3; 24:15; 24:19; 24:36"
People,Jesus,John,,,"1:17; 1:29; 1:36-38; 1:42-43; 1:45; 1:47-48; 1:50; 2:1-4; 2:7; 2:11; 2:13; 2:19; 2:22; 2:24; 3:2-3; 3:5; 3:10; 3:22; 4:1-2; 4:6-7; 4:10; 4:13; 4:16-17; 4:21; 4:26; 4:34; 4:44; 4:46-48; 4:50; 4:53-54; 5:1; 5:6; 5:8; 5:13-17; 5:19; 6:1; 6:3; 6:5; 6:10-11; 6:14-15; 6:17; 6:19; 6:22; 6:24; 6:26; 6:29; 6:32; 6:35; 6:42-43; 6:53; 6:61; 6:64; 6:67; 6:70; 7:1; 7:6; 7:14; 7:16; 7:21; 7:28; 7:33; 7:37; 7:39; 8:1; 8:6; 8:9-12; 8:14; 8:19-21; 8:25; 8:28; 8:31; 8:34; 8:39; 8:42; 8:49; 8:54; 8:58-59; 9:3; 9:11; 9:14; 9:35; 9:37; 9:39; 9:41; 10:6-7; 10:23; 10:25; 10:32; 10:34; 11:4-5; 11:9; 11:13-14; 11:17; 11:20-21; 11:23; 11:25; 11:30; 11:32-33; 11:35; 11:38-41; 11:44-46; 11:51; 11:54; 11:56; 12:1; 12:3; 12:7; 12:9; 12:11-12; 12:14; 12:16; 12:21-23; 12:30; 12:35-36; 12:44; 13:1; 13:3; 13:7-8; 13:10; 13:21; 13:23; 13:25-27; 13:29; 13:31; 13:36; 13:38; 14:6; 14:9; 14:23; 16:19; 16:31; 17:1; 17:3; 18:1-2; 18:4-5; 18:7-8; 18:11-12; 18:15; 18:19-20; 18:22-23; 18:28; 18:32-34; 18:36-37; 19:1; 19:5; 19:9; 19:11; 19:13; 19:16; 19:18-20; 19:23; 19:25-26; 19:28; 19:30; 19:33; 19:38-40; 19:42; 20:2; 20:12; 20:14-17; 20:19; 20:21; 20:24; 20:26; 20:29-31; 21:1; 21:4-5; 21:7; 21:10; 21:12-15; 21:17; 21:20-23; 21:25"
People,Jesus,Acts,,,"1:1; 1:11; 1:14; 1:16; 1:21; 2:22; 2:32; 2:36; 2:38; 3:6; 3:13; 3:20; 3:26; 4:2; 4:10; 4:13; 4:18; 4:27; 4:30; 4:33; 5:30; 5:40-42; 6:14; 7:55; 7:59; 8:12; 8:16; 8:35; 9:5; 9:27; 9:29; 9:34; 10:36; 10:38; 10:48; 11:17; 11:20; 13:6; 13:33; 15:11; 15:26; 16:18; 16:31; 17:3; 17:7; 17:18; 18:5; 18:25; 18:28; 19:4-5; 19:10; 19:13; 19:15; 19:17; 20:21; 20:24; 20:35; 21:13; 22:8; 24:24; 25:19; 26:9; 26:15; 28:23; 28:31"
People,Jesus,Romans,,,"1:1; 1:4; 1:6-8; 2:16; 3:22; 3:24; 3:26; 4:24; 5:1; 5:11; 5:15; 5:17; 5:21; 6:3; 6:11; 6:23; 7:25; 8:1-2; 8:11; 8:39; 10:9; 13:14; 14:14; 14:24; 14:26; 15:5-6; 15:16-17; 15:30; 16:3; 16:18; 16:20; 16:24"
People,Jesus,1 Corinthians,,,"1:1-4; 1:7-10; 1:30; 2:2; 3:11; 4:15; 5:4-5; 6:11; 8:6; 9:1; 11:23; 12:3; 15:31; 15:57; 16:22-24"
People,Jesus,2 Corinthians,,,"1:1-3; 1:14; 1:19; 4:5-6; 4:10-11; 4:14; 5:18; 8:9; 11:4; 11:31; 13:5; 13:14"
People,Jesus,Galatians,,,"1:1; 1:3; 1:12; 2:4; 2:16; 3:1; 3:14; 3:22; 3:26; 3:28; 4:14; 5:6; 6:14-18"
