MainTopic,SubTopic,Book,Chapter,Verse,Verses

Salvation,Eternal Life,Matthew,,,"19:16; 19:29; 25:46"
Salvation,Eternal Life,Mark,,,"10:17; 10:30"
Salvation,Eternal Life,Luke,,,"10:25; 18:18; 18:30"
Salvation,Eternal Life,John,,,"3:15-16; 3:36; 4:14; 4:36; 5:24; 5:39; 6:27; 6:40; 6:47; 6:54; 6:68; 10:28; 12:25; 12:50; 17:2-3"
Salvation,Eternal Life,Acts,,,"13:46; 13:48"
Salvation,Eternal Life,Romans,,,"2:7; 5:21; 6:22-23"
Salvation,Eternal Life,Galatians,,,"6:8"
Salvation,Eternal Life,1 Timothy,,,"1:16; 6:12; 6:19"
Salvation,Eternal Life,Titus,,,"1:2; 3:7"
Salvation,Eternal Life,1 John,,,"1:2; 2:25; 3:15; 5:13; 5:20"
Salvation,Eternal Life,Jude,,,"1:21"

Salvation,The Way,John,,,"14:6"
