Section,MainTopic,SubTopic,Book,Chapter,Verse

"========== FATHER ==========", , , , ,
"========== ACCEPTANCE FROM GOD ==========", , , , ,
"Father, Son, Holy Spirit",Father,Acceptance from God,Genesis,4,4
"Father, Son, Holy Spirit",Father,Acceptance from God,Genesis,4,5
"Father, Son, Holy Spirit",Father,Acceptance from God,Genesis,4,6
"Father, Son, Holy Spirit",Father,Acceptance from God,Genesis,4,7

"========== FATHER ==========", , , , ,
"========== ACCUSATIONS ==========", , , , ,
"Father, Son, Holy Spirit",Father,Accusations,Genesis,3,13
"Father, Son, Holy Spirit",Father,Accusations,Genesis,3,14

"========== FATHER ==========", , , , ,
"========== COMMANDS COMMANDMENTS ==========", , , , ,
"Father, Son, Holy Spirit",Father,Commands - Commandments,Genesis,3,11
"Father, Son, Holy Spirit",Father,Commands - Commandments,Genesis,3,17

"========== FATHER ==========", , , , ,
"========== CREATOR ==========", , , , ,
"Father, Son, Holy Spirit",Father,Creator,Genesis,1,1
"Father, Son, Holy Spirit",Father,Creator,Genesis,1,3
"Father, Son, Holy Spirit",Father,Creator,Genesis,1,4
"Father, Son, Holy Spirit",Father,Creator,Genesis,1,5
"Father, Son, Holy Spirit",Father,Creator,Genesis,1,6
"Father, Son, Holy Spirit",Father,Creator,Genesis,1,7
"Father, Son, Holy Spirit",Father,Creator,Genesis,1,8
"Father, Son, Holy Spirit",Father,Creator,Genesis,1,9
"Father, Son, Holy Spirit",Father,Creator,Genesis,1,10
"Father, Son, Holy Spirit",Father,Creator,Genesis,1,11
"Father, Son, Holy Spirit",Father,Creator,Genesis,1,12
"Father, Son, Holy Spirit",Father,Creator,Genesis,1,13
"Father, Son, Holy Spirit",Father,Creator,Genesis,1,14
"Father, Son, Holy Spirit",Father,Creator,Genesis,1,15
"Father, Son, Holy Spirit",Father,Creator,Genesis,1,16
"Father, Son, Holy Spirit",Father,Creator,Genesis,1,17
"Father, Son, Holy Spirit",Father,Creator,Genesis,1,18
"Father, Son, Holy Spirit",Father,Creator,Genesis,1,19
"Father, Son, Holy Spirit",Father,Creator,Genesis,1,20
"Father, Son, Holy Spirit",Father,Creator,Genesis,1,21
"Father, Son, Holy Spirit",Father,Creator,Genesis,1,22
"Father, Son, Holy Spirit",Father,Creator,Genesis,1,23
"Father, Son, Holy Spirit",Father,Creator,Genesis,1,24
"Father, Son, Holy Spirit",Father,Creator,Genesis,1,25
"Father, Son, Holy Spirit",Father,Creator,Genesis,1,26
"Father, Son, Holy Spirit",Father,Creator,Genesis,1,27
"Father, Son, Holy Spirit",Father,Creator,Genesis,1,31
"Father, Son, Holy Spirit",Father,Creator,Genesis,2,2
"Father, Son, Holy Spirit",Father,Creator,Genesis,2,2
"Father, Son, Holy Spirit",Father,Creator,Genesis,2,7
"Father, Son, Holy Spirit",Father,Creator,Genesis,2,8
"Father, Son, Holy Spirit",Father,Creator,Genesis,2,9
"Father, Son, Holy Spirit",Father,Creator,Genesis,2,19
"Father, Son, Holy Spirit",Father,Creator,Genesis,3,21

"========== FATHER ==========", , , , ,
"========== CURSES ==========", , , , ,
"Father, Son, Holy Spirit",Father,Curses,Genesis,3,14
"Father, Son, Holy Spirit",Father,Curses,Genesis,3,15
"Father, Son, Holy Spirit",Father,Curses,Genesis,3,16
"Father, Son, Holy Spirit",Father,Curses,Genesis,3,17
"Father, Son, Holy Spirit",Father,Curses,Genesis,3,18
"Father, Son, Holy Spirit",Father,Curses,Genesis,3,19
"Father, Son, Holy Spirit",Father,Curses,Genesis,4,10
"Father, Son, Holy Spirit",Father,Curses,Genesis,4,11
"Father, Son, Holy Spirit",Father,Curses,Genesis,4,12

"========== FATHER ==========", , , , ,
"========== DESIGNATOR ==========", , , , ,
"Father, Son, Holy Spirit",Father,Designator,Genesis,1,28
"Father, Son, Holy Spirit",Father,Designator,Genesis,2,15
"Father, Son, Holy Spirit",Father,Designator,Genesis,2,16
"Father, Son, Holy Spirit",Father,Designator,Genesis,2,17

"========== FATHER ==========", , , , ,
"========== PRESENCE ON EARTH ==========", , , , ,
"Father, Son, Holy Spirit",Father,Presence on Earth,Genesis,3,8

"========== FATHER ==========", , , , ,
"========== SPOKEN WORDS ==========", , , , ,
"Father, Son, Holy Spirit",Father,Spoken Words,Genesis,1,3
"Father, Son, Holy Spirit",Father,Spoken Words,Genesis,1,6
"Father, Son, Holy Spirit",Father,Spoken Words,Genesis,1,9
"Father, Son, Holy Spirit",Father,Spoken Words,Genesis,1,11
"Father, Son, Holy Spirit",Father,Spoken Words,Genesis,1,14
"Father, Son, Holy Spirit",Father,Spoken Words,Genesis,1,15
"Father, Son, Holy Spirit",Father,Spoken Words,Genesis,1,20
"Father, Son, Holy Spirit",Father,Spoken Words,Genesis,1,22
"Father, Son, Holy Spirit",Father,Spoken Words,Genesis,1,24
"Father, Son, Holy Spirit",Father,Spoken Words,Genesis,1,26
"Father, Son, Holy Spirit",Father,Spoken Words,Genesis,1,28
"Father, Son, Holy Spirit",Father,Spoken Words,Genesis,1,29
"Father, Son, Holy Spirit",Father,Spoken Words,Genesis,1,30
"Father, Son, Holy Spirit",Father,Spoken Words,Genesis,2,16
"Father, Son, Holy Spirit",Father,Spoken Words,Genesis,2,17
"Father, Son, Holy Spirit",Father,Spoken Words,Genesis,2,18
