Section,MainTopic,SubTopic,Book,Chapter,Verse

"========== CREATION ==========", , , , ,
"========== CREATION ==========", , , , ,
"Creation, Earth, Animals",Creation,Creation,Genesis,1,1
"Creation, Earth, Animals",Creation,Creation,Genesis,1,3
"Creation, Earth, Animals",Creation,Creation,Genesis,1,4
"Creation, Earth, Animals",Creation,Creation,Genesis,1,5
"Creation, Earth, Animals",Creation,Creation,Genesis,1,6
"Creation, Earth, Animals",Creation,Creation,Genesis,1,7
"Creation, Earth, Animals",Creation,Creation,Genesis,1,8
"Creation, Earth, Animals",Creation,Creation,Genesis,1,9
"Creation, Earth, Animals",Creation,Creation,Genesis,1,10
"Creation, Earth, Animals",Creation,Creation,Genesis,1,11
"Creation, Earth, Animals",Creation,Creation,Genesis,1,12
"Creation, Earth, Animals",Creation,Creation,Genesis,1,13
"Creation, Earth, Animals",Creation,Creation,Genesis,1,14
"Creation, Earth, Animals",Creation,Creation,Genesis,1,15
"Creation, Earth, Animals",Creation,Creation,Genesis,1,16
"Creation, Earth, Animals",Creation,Creation,Genesis,1,17
"Creation, Earth, Animals",Creation,Creation,Genesis,1,18
"Creation, Earth, Animals",Creation,Creation,Genesis,1,19
"Creation, Earth, Animals",Creation,Creation,Genesis,1,20
"Creation, Earth, Animals",Creation,Creation,Genesis,1,21
"Creation, Earth, Animals",Creation,Creation,Genesis,1,22
"Creation, Earth, Animals",Creation,Creation,Genesis,1,23
"Creation, Earth, Animals",Creation,Creation,Genesis,1,24
"Creation, Earth, Animals",Creation,Creation,Genesis,1,25
"Creation, Earth, Animals",Creation,Creation,Genesis,1,26
"Creation, Earth, Animals",Creation,Creation,Genesis,1,27
"Creation, Earth, Animals",Creation,Creation,Genesis,1,31
"Creation, Earth, Animals",Creation,Creation,Genesis,2,1
"Creation, Earth, Animals",Creation,Creation,Genesis,2,2
"Creation, Earth, Animals",Creation,Creation,Genesis,2,3
"Creation, Earth, Animals",Creation,Creation,Genesis,2,4
"Creation, Earth, Animals",Creation,Creation,Genesis,2,7
"Creation, Earth, Animals",Creation,Creation,Genesis,2,8
"Creation, Earth, Animals",Creation,Creation,Genesis,2,9
"Creation, Earth, Animals",Creation,Creation,Genesis,2,19
"Creation, Earth, Animals",Creation,Creation,Genesis,2,21
"Creation, Earth, Animals",Creation,Creation,Genesis,2,22
"Creation, Earth, Animals",Creation,Creation,Genesis,3,19
"Creation, Earth, Animals",Creation,Creation,Genesis,3,21

"========== EARTH ==========", , , , ,
