Section,MainTopic,SubTopic,Book,Chapter,Verse
"========== HISTORY ==========", , , , ,
"========== CREATION ==========", , , , ,
"History, Laws, Sin",History,Creation,Genesis,2,4
"========== LAWS ==========", , , , ,
"========== OBEY ==========", , , , ,
"History, Laws, Sin",Laws,Obey,Genesis,4,6
"History, Laws, Sin",Laws,Obey,Genesis,4,7
"========== LAWS ==========", , , , ,
"========== OFFERINGS ==========", , , , ,
"History, Laws, Sin",Laws,Offerings,Genesis,4,4
"History, Laws, Sin",Laws,Offerings,Genesis,4,5
"========== LAWS ==========", , , , ,
"========== SABBATH ==========", , , , ,
"History, Laws, Sin",Laws,Sabbath,Genesis,2,2
"History, Laws, Sin",Laws,Sabbath,Genesis,2,3















