Section,MainTopic,SubTopic,Book,Chapter,Verse
"========== PEOPLE ==========", , , , ,
"========== ABEL ==========", , , , ,
"People,Culture,Objects",People,Abel,Genesis,4,2
"People,Culture,Objects",People,Abel,Genesis,4,4
"People,Culture,Objects",People,Abel,Genesis,4,5
"People,Culture,Objects",People,Abel,Genesis,4,8
"People,Culture,Objects",People,Abel,Genesis,4,9

"People,Culture,Objects",People,Adam,Genesis,2,20
"People,Culture,Objects",People,Adam,Genesis,2,21
"People,Culture,Objects",People,Adam,Genesis,2,22
"People,Culture,Objects",People,Adam,Genesis,2,23
"People,Culture,Objects",People,Adam,Genesis,2,25
"People,Culture,Objects",People,Adam,Genesis,3,8
"People,Culture,Objects",People,Adam,Genesis,3,9
"People,Culture,Objects",People,Adam,Genesis,3,10
"People,Culture,Objects",People,Adam,Genesis,3,12
"People,Culture,Objects",People,Adam,Genesis,3,17
"People,Culture,Objects",People,Adam,Genesis,3,20
"People,Culture,Objects",People,Adam,Genesis,3,21
"People,Culture,Objects",People,Adam,Genesis,4,1 
"========== PEOPLE ==========", , , , ,
"========== BROTHER ==========", , , , ,
"People,Culture,Objects",People,Brother,Genesis,4,8
"People,Culture,Objects",People,Brother,Genesis,4,9
"People,Culture,Objects",People,Brother,Genesis,4,10
"People,Culture,Objects",People,Brother,Genesis,4,11
"People,Culture,Objects",People,Brother,Genesis,4,12
"========== PEOPLE ==========", , , , ,
"========== CAIN ==========", , , , ,
"People,Culture,Objects",People,Cain,Genesis,4,1
"People,Culture,Objects",People,Cain,Genesis,4,2
"People,Culture,Objects",People,Cain,Genesis,4,3
"People,Culture,Objects",People,Cain,Genesis,4,4
"People,Culture,Objects",People,Cain,Genesis,4,5
"People,Culture,Objects",People,Cain,Genesis,4,6
"People,Culture,Objects",People,Cain,Genesis,4,7
"People,Culture,Objects",People,Cain,Genesis,4,8
"People,Culture,Objects",People,Cain,Genesis,4,9
"People,Culture,Objects",People,Cain,Genesis,4,13
"People,Culture,Objects",People,Cain,Genesis,4,14
"People,Culture,Objects",People,Cain,Genesis,4,15
"People,Culture,Objects",People,Cain,Genesis,4,16






























