Section,MainTopic,SubTopic,Book,Chapter,Verse
"========== MIND ==========", , , , ,
"========== ABANDONMENT ==========", , , , ,
"People,Culture,Objects",Mind,Abandonment,Leviticus,26,12
"People,Culture,Objects",Mind,Abandonment,Deuteronomy,31,6
"People,Culture,Objects",Mind,Abandonment,Deuteronomy,31,8
"People,Culture,Objects",Mind,Abandonment,Joshua,1,5
"People,Culture,Objects",Mind,Abandonment,Joshua,1,9
"People,Culture,Objects",Mind,Abandonment,Psalms,9,10
"People,Culture,Objects",Mind,Abandonment,Psalms,22,1
"People,Culture,Objects",Mind,Abandonment,Psalms,23,4
"People,Culture,Objects",Mind,Abandonment,Psalms,27,10
"People,Culture,Objects",Mind,Abandonment,Psalms,37,28
"People,Culture,Objects",Mind,Abandonment,Psalms,38,21
"People,Culture,Objects",Mind,Abandonment,Psalms,51,11
"People,Culture,Objects",Mind,Abandonment,Psalms,71,9
"People,Culture,Objects",Mind,Abandonment,Psalms,94,14
"People,Culture,Objects",Mind,Abandonment,Isaiah,41,17
"People,Culture,Objects",Mind,Abandonment,Isaiah,49,15
"People,Culture,Objects",Mind,Abandonment,Isaiah,49,16
"People,Culture,Objects",Mind,Abandonment,Matthew,28,20
"People,Culture,Objects",Mind,Abandonment,Mark,15,34
"People,Culture,Objects",Mind,Abandonment,John,14,18
"People,Culture,Objects",Mind,Abandonment,Romans,8,35
"People,Culture,Objects",Mind,Abandonment,Romans,8,36
"People,Culture,Objects",Mind,Abandonment,Romans,8,37
"People,Culture,Objects",Mind,Abandonment,Romans,8,38
"People,Culture,Objects",Mind,Abandonment,Romans,8,39
"People,Culture,Objects",Mind,Abandonment,2 Corinthians,4,9
"People,Culture,Objects",Mind,Abandonment,Hebrews,13,5
"People,Culture,Objects",Mind,Abandonment,Hebrews,13,6
Section,MainTopic,SubTopic,Book,Chapter,Verse
"========== MIND ==========", , , , ,
"========== ABIDING IN CHRIST ==========", , , , ,
"People,Culture,Objects",Mind,"Abiding in Christ',John,8,31
"People,Culture,Objects",Mind,"Abiding in Christ',John,15,4
"People,Culture,Objects",Mind,"Abiding in Christ',John,15,5
"People,Culture,Objects",Mind,"Abiding in Christ',John,15,6
"People,Culture,Objects",Mind,"Abiding in Christ',John,15,7
"People,Culture,Objects",Mind,"Abiding in Christ',John,15,9
"People,Culture,Objects",Mind,"Abiding in Christ',John,15,10
"People,Culture,Objects",Mind,"Abiding in Christ',1 John,2,6
"People,Culture,Objects",Mind,"Abiding in Christ',1 John,2,10
"People,Culture,Objects",Mind,"Abiding in Christ',1 John,2,24
"People,Culture,Objects",Mind,"Abiding in Christ',1 John,2,27
"People,Culture,Objects",Mind,"Abiding in Christ',1 John,2,28
"People,Culture,Objects",Mind,"Abiding in Christ',1 John,3,6
"People,Culture,Objects",Mind,"Abiding in Christ',1 John,3,24
"People,Culture,Objects",Mind,"Abiding in Christ',1 John,4,12
"People,Culture,Objects",Mind,"Abiding in Christ',1 John,4,13
"People,Culture,Objects",Mind,"Abiding in Christ',1 John,4,14
"People,Culture,Objects",Mind,"Abiding in Christ',1 John,4,15
"People,Culture,Objects",Mind,"Abiding in Christ',1 John,4,16
"People,Culture,Objects",Mind,"Abiding in Christ',2 John,1,9































