Section,MainTopic,SubTopic,Book,Chapter,Verse
"========== PLACES ==========", , , , ,
"========== CITIES ==========", , , , ,
"Places,Travels",Cities,Assyria,Genesis,2,14

"========== PLACES ==========", , , , ,
"========== COUNTRIES ==========", , , , ,
"Places,Travels",Countries,Genesis,,

"========== PLACES ==========", , , , ,
"========== KINGDOMS ==========", , , , ,
"Places,Travels",Kingdoms,Genesis,,

"========== PLACES ==========", , , , ,
"========== OTHER LOCATIONS ==========", , , , ,
"Places,Travels",Other Locations,Cush,Genesis,2,13
"Places,Travels",Other Locations,Garden of Eden,Genesis,2,8
"Places,Travels",Other Locations,Garden of Eden,Genesis,2,9
"Places,Travels",Other Locations,Garden of Eden,Genesis,2,10
"Places,Travels",Other Locations,Garden of Eden,Genesis,2,15
"Places,Travels",Other Locations,Garden of Eden,Genesis,2,17
"Places,Travels",Other Locations,Garden of Eden,Genesis,3,1
"Places,Travels",Other Locations,Garden of Eden,Genesis,3,2
"Places,Travels",Other Locations,Garden of Eden,Genesis,3,3
"Places,Travels",Other Locations,Garden of Eden,Genesis,3,8
"Places,Travels",Other Locations,Garden of Eden,Genesis,3,10
"Places,Travels",Other Locations,Garden of Eden,Genesis,3,23
"Places,Travels",Other Locations,Garden of Eden,Genesis,3,24
"Places,Travels",Other Locations,Garden of Eden,Genesis,4,16
"Places,Travels",Other Locations,Havilah,Genesis,2,11
"Places,Travels",Other Locations,Havilah,Genesis,2,12
"Places,Travels",Other Locations,Nod,Genesis,4,16

"========== PLACES ==========", , , , ,
"========== RIVERS ==========", , , , ,
"Places,Travels",Rivers,Euphrates,Genesis,2,14
"Places,Travels",Rivers,Gihon,Genesis,2,13
"Places,Travels",Rivers,Hiddekel,Genesis,2,14
"Places,Travels",Rivers,Pishon,Genesis,2,11
"Places,Travels",Rivers,Pishon,Genesis,2,12

"========== TRAVELS ==========", , , , ,
"========== THE EXODUS ==========", , , , ,
"Places,Travels",Travels,The Exodus,Exodus,12,33
"Places,Travels",Travels,The Exodus,Exodus,12,34
"Places,Travels",Travels,The Exodus,Exodus,12,35
"Places,Travels",Travels,The Exodus,Exodus,12,36
"Places,Travels",Travels,The Exodus,Exodus,12,37
"Places,Travels",Travels,The Exodus,Exodus,12,38
"Places,Travels",Travels,The Exodus,Exodus,13,17
"Places,Travels",Travels,The Exodus,Exodus,13,18
"Places,Travels",Travels,The Exodus,Exodus,13,19
"Places,Travels",Travels,The Exodus,Exodus,13,20
"Places,Travels",Travels,The Exodus,Exodus,13,21
"Places,Travels",Travels,The Exodus,Exodus,13,22
"Places,Travels",Travels,The Exodus,Exodus,14,5
"Places,Travels",Travels,The Exodus,Exodus,14,6
"Places,Travels",Travels,The Exodus,Exodus,14,7
"Places,Travels",Travels,The Exodus,Exodus,14,8
"Places,Travels",Travels,The Exodus,Exodus,14,9
"Places,Travels",Travels,The Exodus,Exodus,14,10
"Places,Travels",Travels,The Exodus,Exodus,14,19
"Places,Travels",Travels,The Exodus,Exodus,14,20
"Places,Travels",Travels,The Exodus,Exodus,14,21
"Places,Travels",Travels,The Exodus,Exodus,14,22
"Places,Travels",Travels,The Exodus,Exodus,14,23
"Places,Travels",Travels,The Exodus,Exodus,14,24
"Places,Travels",Travels,The Exodus,Exodus,14,25
"Places,Travels",Travels,The Exodus,Exodus,14,26
"Places,Travels",Travels,The Exodus,Exodus,14,27
"Places,Travels",Travels,The Exodus,Exodus,14,28
"Places,Travels",Travels,The Exodus,Exodus,14,29
"Places,Travels",Travels,The Exodus,Exodus,14,30

"========== TRAVELS ==========", , , , ,
"========== TRAVELS ==========", , , , ,
"Places,Travels",Travels,Travels,Genesis,4,16
