Section,MainTopic,SubTopic,Book,Chapter,Verse

"========== SPIRITUAL BEINGS ==========", , , , ,
"========== ANGELS ==========", , , , ,
"Spiritual Beings,Miracles,",Spiritual Beings,Angels,Genesis,3,24

"========== SPIRITUAL BEINGS ==========", , , , ,
"========== DEMONS ==========", , , , ,
"Spiritual Beings,Miracles,",Spiritual Beings,Demons,,

"========== SPIRITUAL BEINGS ==========", , , , ,
"========== PRINCIPALITIES ==========", , , , ,
"Spiritual Beings,Miracles,",Spiritual Beings,Principalities,,

"========== SPIRITUAL BEINGS ==========", , , , ,
"========== SATAN ==========", , , , ,
"Spiritual Beings,Miracles,",Spiritual Beings,Satan,Genesis,3,1
"Spiritual Beings,Miracles,",Spiritual Beings,Satan,Genesis,3,2
"Spiritual Beings,Miracles,",Spiritual Beings,Satan,Genesis,3,3
"Spiritual Beings,Miracles,",Spiritual Beings,Satan,Genesis,3,4
"Spiritual Beings,Miracles,",Spiritual Beings,Satan,Genesis,3,5











