Section,MainTopic,SubTopic,Book,Chapter,Verse

"========== WISDOM ==========", , , , ,
"========== INSTRUCTION ==========", , , , ,
"Wisdom, Instructions",Wisdom,Instruction,Proverbs,1,2
"Wisdom, Instructions",Wisdom,Instruction,Proverbs,1,3
"Wisdom, Instructions",Wisdom,Instruction,Proverbs,1,7
"Wisdom, Instructions",Wisdom,Instruction,Proverbs,1,8

"========== WISDOM ==========", , , , ,
"========== WISDOM ==========", , , , ,
"Wisdom, Instructions",Wisdom,Wisdom,Proverbs,1,2
"Wisdom, Instructions",Wisdom,Wisdom,Proverbs,1,3
"Wisdom, Instructions",Wisdom,Wisdom,Proverbs,1,5
"Wisdom, Instructions",Wisdom,Wisdom,Proverbs,1,6
"Wisdom, Instructions",Wisdom,Wisdom,Proverbs,1,7




