MainTopic,SubTopic,Book,Chapter,Verse

Son,"Christ's Return",Luke,21,27

Son,The Lamb of God,John,1,29

Son,The Light,John,1,6
Son,The Light,John,1,7
Son,The Light,John,1,8
Son,The Light,John,1,9
Son,The Light,John,2,19
Son,The Light,John,2,20
Son,The Light,John,2,21

Son,Savior,John,1,11
Son,Savior,John,1,12
Son,Savior,John,1,13
Son,Savior,John,3,13
Son,Savior,John,3,14
Son,Savior,John,3,15
Son,Savior,John,3,16
Son,Savior,John,3,17
Son,Savior,John,3,18

Son,The Word,John,1,1
Son,The Word,John,1,14
