MainTopic,SubTopic,Book,Chapter,Verse

Travels,The Exodus,Exodus,12,33
Travels,The Exodus,Exodus,12,34
Travels,The Exodus,Exodus,12,35
Travels,The Exodus,Exodus,12,36
Travels,The Exodus,Exodus,12,37
Travels,The Exodus,Exodus,12,38
Travels,The Exodus,Exodus,13,17
Travels,The Exodus,Exodus,13,18
Travels,The Exodus,Exodus,13,19
Travels,The Exodus,Exodus,13,20
Travels,The Exodus,Exodus,13,21
Travels,The Exodus,Exodus,13,22
Travels,The Exodus,Exodus,14,5
Travels,The Exodus,Exodus,14,6
Travels,The Exodus,Exodus,14,7
Travels,The Exodus,Exodus,14,8
Travels,The Exodus,Exodus,14,9
Travels,The Exodus,Exodus,14,10
Travels,The Exodus,Exodus,14,19
Travels,The Exodus,Exodus,14,20
Travels,The Exodus,Exodus,14,21
Travels,The Exodus,Exodus,14,22
Travels,The Exodus,Exodus,14,23
Travels,The Exodus,Exodus,14,24
Travels,The Exodus,Exodus,14,25
Travels,The Exodus,Exodus,14,26
Travels,The Exodus,Exodus,14,27
Travels,The Exodus,Exodus,14,28
Travels,The Exodus,Exodus,14,29
Travels,The Exodus,Exodus,14,30

Travels,Travels,Genesis,4,16
